City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Harper,LR,81.64,light rain,4.375,-7.7169,Screensaver
10,Sinnamary,GF,81.12,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
15,Axim,GH,83.28,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
19,Oeiras,BR,83.39,scattered clouds,-7.0253,-42.1311,Hotel SESC Oeiras
22,Quimper,FR,80.67,clear sky,48.0,-4.1,Hôtel Escale Oceania Quimper
29,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Georgetown,MY,85.98,moderate rain,5.4112,100.3354,Cititel Penang
42,Faya,SA,86.11,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
48,Puri,IN,83.37,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
53,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
57,Sumbe,AO,83.16,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
58,Hazebrouck,FR,83.44,clear sky,50.7237,2.5373,Hôtel Fleur de Lys Hazebrouck
67,Zhezkazgan,KZ,78.87,scattered clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
76,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
77,Senanga,ZM,80.42,few clouds,-16.1167,23.2667,Zango lodge
78,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
83,Bandarbeyla,SO,89.89,broken clouds,9.4942,50.8122,JABIR HOTEL
84,Shu,KZ,81.14,clear sky,43.5983,73.7614,Shyngyzkhan
90,Dmanisi,GE,81.34,clear sky,41.5251,44.3472,Alexander Distillery
93,Muzaffarabad,PK,84.04,scattered clouds,34.37,73.4711,Pearl Continental Muzaffarabad
94,Ghanzi,BW,75.27,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
96,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
98,Isiro,CD,86.25,overcast clouds,2.7739,27.616,Guest House Hewa Bora
101,Sao Filipe,CV,76.59,overcast clouds,14.8961,-24.4956,Hotel Xaguate
103,Murmino,RU,77.65,scattered clouds,54.6036,40.0544,Country house Alekanovo
108,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
109,Anloga,GH,88.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
110,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
