City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Surab,PK,28.4914,66.2585,93.99,2,0,18.63,clear sky
1,Forestville,US,38.8451,-76.875,71.49,81,1,1.01,clear sky
2,Narsaq,GL,60.9167,-46.05,40.23,75,79,3.51,broken clouds
3,East London,ZA,-33.0153,27.9116,70.74,60,0,4.61,clear sky
4,Huarmey,PE,-10.0681,-78.1522,65.14,86,16,2.13,few clouds
5,Port Alfred,ZA,-33.5906,26.891,67.62,69,94,6.96,overcast clouds
6,Tasiilaq,GL,65.6145,-37.6368,35.17,79,66,1.43,broken clouds
7,Nanortalik,GL,60.1432,-45.2371,36.77,86,99,6.76,overcast clouds
8,Jamestown,US,42.097,-79.2353,65.01,90,1,1.99,clear sky
9,Harper,LR,4.375,-7.7169,81.64,78,65,7.61,light rain
10,Sinnamary,GF,5.3833,-52.95,81.12,79,57,4.63,broken clouds
11,Eidfjord,NO,60.4675,7.0719,62.6,91,100,6.96,overcast clouds
12,Gewane,ET,10.1664,40.6453,102.9,16,99,1.77,overcast clouds
13,Lebu,CL,-37.6167,-73.65,44.46,73,44,18.39,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,37.06,81,75,27.63,light intensity drizzle
15,Axim,GH,4.8699,-2.2405,83.28,72,95,6.69,overcast clouds
16,Sawakin,SD,19.1059,37.3321,100.33,40,37,13.62,scattered clouds
17,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,87,90,18.41,light intensity drizzle
18,Ribeira Grande,PT,38.5167,-28.7,70.2,83,20,4.61,few clouds
19,Oeiras,BR,-7.0253,-42.1311,83.39,48,39,10.25,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,67.8,65,3,3.78,clear sky
21,Marzuq,YE,14.4,46.4667,96.31,7,84,9.78,broken clouds
22,Quimper,FR,48.0,-4.1,80.67,53,0,4.61,clear sky
23,Clyde River,CA,70.4692,-68.5914,30.43,93,90,5.75,mist
24,Cape Town,ZA,-33.9258,18.4232,66.11,73,0,8.05,clear sky
